Начална популация : 50
Шанс за мутация : 10 процента
Числото вдясно е стойността на фитнес функцията, колкото по-малко, толкова по-добро е решението като при 0 е валидно.
Пример 1

Generation 1
[ 3, 3, 5, 2, 2, 8, 6, 8, ] - 6
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 7, 5, 3, 8, 2, 8, 6, 8, ] - 5
[ 6, 4, 2, 5, 2, 7, 5, 1, ] - 5
[ 1, 5, 5, 7, 8, 8, 1, 6, ] - 9
[ 3, 8, 4, 2, 3, 7, 2, 6, ] - 6
[ 7, 5, 3, 8, 2, 2, 5, 1, ] - 5
[ 7, 5, 3, 8, 2, 2, 5, 1, ] - 5
[ 1, 3, 2, 2, 2, 8, 6, 8, ] - 7
[ 6, 4, 2, 5, 6, 8, 6, 5, ] - 8
[ 1, 8, 4, 2, 2, 2, 5, 1, ] - 6
[ 7, 5, 3, 8, 8, 8, 1, 7, ] - 6
[ 5, 7, 3, 7, 6, 8, 6, 5, ] - 6
[ 1, 3, 2, 2, 5, 8, 6, 8, ] - 7
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 1, 8, 4, 2, 2, 8, 6, 8, ] - 6
[ 3, 2, 8, 8, 5, 8, 6, 1, ] - 6
[ 5, 7, 3, 5, 1, 4, 5, 1, ] - 11
[ 7, 5, 3, 8, 8, 5, 5, 3, ] - 8
[ 1, 7, 6, 4, 2, 2, 5, 1, ] - 7
[ 5, 7, 3, 7, 1, 4, 5, 1, ] - 8
[ 3, 2, 8, 8, 5, 8, 6, 1, ] - 6
[ 3, 7, 6, 8, 3, 7, 2, 6, ] - 7
[ 7, 5, 5, 7, 4, 5, 1, 2, ] - 11
[ 7, 7, 3, 8, 6, 8, 6, 5, ] - 4
[ 1, 3, 2, 2, 2, 2, 5, 1, ] - 9
[ 6, 7, 6, 4, 2, 2, 5, 1, ] - 8
[ 7, 5, 3, 1, 8, 5, 5, 3, ] - 6
[ 3, 3, 5, 2, 6, 8, 6, 5, ] - 8
[ 1, 3, 2, 2, 8, 6, 3, 6, ] - 6
[ 3, 7, 6, 8, 4, 5, 1, 2, ] - 5
[ 3, 7, 6, 8, 4, 5, 1, 2, ] - 5
[ 1, 5, 5, 7, 8, 6, 1, 6, ] - 8
[ 3, 3, 5, 2, 3, 7, 2, 6, ] - 10
[ 1, 8, 4, 2, 8, 5, 5, 3, ] - 4
[ 6, 7, 6, 4, 8, 8, 1, 6, ] - 9
[ 3, 3, 5, 2, 2, 8, 6, 8, ] - 6
[ 6, 4, 2, 5, 8, 6, 1, 5, ] - 3
[ 7, 5, 3, 8, 6, 8, 6, 5, ] - 4
[ 1, 5, 2, 2, 2, 2, 5, 1, ] - 10
Generation 2
[ 7, 7, 3, 8, 2, 2, 5, 1, ] - 5
[ 7, 5, 3, 8, 6, 5, 6, 5, ] - 7
[ 7, 7, 3, 8, 2, 2, 5, 1, ] - 5
[ 7, 5, 3, 8, 6, 8, 6, 5, ] - 4
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 7, 5, 3, 8, 8, 5, 5, 3, ] - 8
[ 1, 8, 4, 8, 6, 8, 6, 5, ] - 6
[ 6, 4, 2, 5, 2, 7, 5, 1, ] - 5
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 2, 2, 5, 1, ] - 6
[ 7, 5, 5, 8, 8, 6, 1, 5, ] - 10
[ 1, 8, 4, 2, 6, 8, 6, 5, ] - 4
[ 7, 7, 3, 8, 8, 5, 5, 3, ] - 6
[ 1, 8, 4, 2, 2, 2, 5, 1, ] - 6
[ 7, 5, 3, 8, 8, 5, 5, 3, ] - 8
[ 6, 4, 2, 5, 6, 8, 6, 5, ] - 8
[ 7, 7, 3, 8, 2, 7, 5, 1, ] - 5
[ 6, 4, 2, 5, 8, 2, 1, 5, ] - 4
[ 6, 4, 8, 5, 8, 5, 1, 6, ] - 5
[ 6, 4, 2, 5, 6, 8, 6, 5, ] - 8
[ 7, 7, 3, 8, 2, 7, 5, 1, ] - 5
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 7, 5, 3, 8, 6, 8, 6, 5, ] - 4
[ 7, 5, 3, 8, 2, 8, 6, 8, ] - 5
[ 7, 5, 3, 8, 8, 6, 1, 6, ] - 6
[ 6, 4, 2, 5, 2, 2, 5, 1, ] - 6
[ 7, 5, 3, 8, 6, 8, 6, 5, ] - 4
[ 7, 3, 3, 8, 2, 2, 5, 1, ] - 4
[ 7, 7, 3, 8, 6, 8, 6, 5, ] - 4
[ 7, 5, 3, 8, 6, 8, 6, 5, ] - 4
[ 7, 5, 3, 8, 8, 6, 1, 5, ] - 7
[ 6, 4, 2, 5, 2, 2, 5, 1, ] - 6
[ 7, 5, 3, 8, 8, 5, 5, 3, ] - 8
[ 1, 8, 4, 2, 6, 8, 6, 5, ] - 4
[ 6, 4, 2, 5, 8, 6, 1, 5, ] - 3
[ 6, 4, 2, 5, 8, 6, 4, 5, ] - 5
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 2, 7, 5, 8, ] - 4
Generation 3
[ 1, 8, 4, 2, 8, 6, 1, 6, ] - 5
[ 6, 4, 2, 5, 6, 8, 4, 5, ] - 7
[ 6, 4, 2, 5, 6, 8, 6, 5, ] - 8
[ 7, 5, 3, 8, 7, 6, 1, 6, ] - 7
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 6, 8, 6, 5, ] - 8
[ 1, 8, 4, 2, 8, 6, 1, 5, ] - 4
[ 6, 4, 2, 5, 6, 8, 6, 5, ] - 8
[ 1, 8, 4, 5, 2, 7, 5, 8, ] - 7
[ 6, 4, 2, 5, 8, 6, 1, 5, ] - 3
[ 6, 4, 2, 5, 8, 1, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 5, ] - 3
[ 6, 4, 2, 5, 6, 4, 6, 5, ] - 8
[ 1, 8, 4, 2, 8, 6, 1, 6, ] - 5
[ 6, 4, 2, 5, 6, 8, 6, 5, ] - 8
[ 1, 8, 4, 2, 8, 6, 1, 5, ] - 4
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 5, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 5, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 4, 5, 8, 5, 1, 6, ] - 5
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 8, 6, ] - 5
[ 6, 4, 2, 5, 6, 8, 6, 5, ] - 8
[ 7, 5, 7, 8, 8, 5, 1, 6, ] - 6
[ 6, 4, 2, 5, 6, 8, 6, 5, ] - 8
[ 7, 5, 3, 8, 8, 6, 1, 6, ] - 6
Generation 4
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 6, 2, 5, 8, 6, 1, 5, ] - 6
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 3, 5, 8, 6, 1, 5, ] - 5
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 6, 1, 6, ] - 3
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
[ 6, 4, 2, 5, 7, 6, 1, 6, ] - 5
[ 6, 4, 2, 5, 8, 5, 1, 6, ] - 3
